COL1,COL2,SMILES
NM,A1,CN1C(/C=C/C2=CC=C(OCCCC)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,A2,CN1C(/C=C/C2=CC=C(OCCCCC)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,A3,CN1C(/C=C/C2=CC=C(OCO3)C3=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,A4,CN1C(/C=C/C2=CC=CC3=C2OCO3)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,A5,CN1C(/C=C/C2=CC=CC(OC)=C2OC)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,A6,CN1C(/C=C/C2=CC=C(OC)C(OC)=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,A7,CN1C(/C=C/C2=CC=C(OC)C(OC)=C2OC)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,A8,CN1C(/C=C/C2=CC(OC)=CC=C2OC)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,A9,CN1C(/C=C/C2=CC(OC)=C(OC)C=C2OC)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,A10,CN1C(/C=C/C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,B1,CN1C(/C=C/C2=CC=C(OC)C(OCC3=CC=CC=C3)=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,B2,CN1C(/C=C/C2=CC=C(OCC3=CC=CC=C3)C(OCC4=CC=CC=C4)=C2)=[N+](CCCCCC(NCCN)=O)C5=CC=CC=C51
,B3,CN1C(/C=C/C2=C(OCC3=CC=CC=C3)C=C(OC)C(OC)=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,B4,CN1C(/C=C/C2=CC=CC(OC3=CC=C(OC)C=C3)=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,B5,CN1C(/C=C/C2=CC=C(OC3=CC=CC=C3)C=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,B6,CN1C(/C=C/C2=CC=CC(OC3=CC=CC=C3)=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,B7,CN1C(/C=C/C2=CC=CC=C2C3=CC=CC=C3)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,B8,CN1C(/C=C/C2=CC=C(C3=CC=CC=C3)C=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,B9,CN1C(/C=C/C2=C(C)C=C(C)C=C2C)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,B10,CN1C(/C=C/C2=C(C)C(C)=C(C)C(C)=C2C)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,C1,CN1C(/C=C/C2=CC=C(/C=C/C3=CC=CC=C3)C=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,C2,CN1C(/C=C/C=C(C2=CC=CC=C2)/C3=CC=CC=C3)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,C3,CN1C(/C=C/C2=CC=C(OCC=C)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,C4,CN1C(/C=C/C=C/C2=CC=CC=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,C5,CN1C(/C=C/C=C/C2=C([N+]([O-])=O)C=CC=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,C6,CN1C(/C=C/C2=C(C=CC=C3)C3=CC4=C2C=CC=C4)=[N+](CCCCCC(NCCN)=O)C5=CC=CC=C51
,C7,CN1C(/C=C/C2=NC(C=CC=C3)=C3C=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,C8,CN1C(/C=C/C2=CC=C(N(CC)C3=C4C=CC=C3)C4=C2)=[N+](CCCCCC(NCCN)=O)C5=CC=CC=C51
,C9,CN1C(/C=C/C2=CC=C(C3=NC=CC=C3)C=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,C10,CN1C(/C=C/C2=CC=C(C3=CC=CS3)S2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,D1,CN1C(/C=C/C2=CC=C3C4=C2C=CC=C4CC3)=[N+](CCCCCC(NCCN)=O)C5=CC=CC=C51
,D2,CN1C(/C=C/C2=CC(C=CC=C3)=C3C4=C2C=CC=C4)=[N+](CCCCCC(NCCN)=O)C5=CC=CC=C51
,D3,CN1C(/C=C/C2=CC=C(C=C(OC)C=C3)C3=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,D4,CN1C(/C=C/C2=C(C)C=CC3=C2C=CC=C3)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,D5,CN1C(/C=C/C2=C(OC)C=CC3=C2C=CC=C3)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,D6,CN1C(/C=C/C2=CC=C(C)C3=C2C=CC=C3)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,D7,CN1C(/C=C/C2=CC=CC3=C2C=CC=C3)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,D8,CN1C(/C=C/C2=CC=C(C=CC=C3)C3=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,D9,CN1C(/C=C/C2=CC=C(C(C)C)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,D10,CN1C(/C=C/C2=CC=CC(OC)=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,E1,CN1C(/C=C/C2=C(Cl)C=CC=C2Cl)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,E2,CN1C(/C=C/C2=C(OC)C(OC)=CC(Br)=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,E3,CN1C(/C=C/C2=C(OC)C=C(OC)C=C2OC)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,E4,CN1C(/C=C/C2=CC(OC)=C(OC)C(OC)=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,E5,CN1C(/C=C/C2=CC=C(OCCCN(C)C)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,E6,CN1C(/C=C/C2=CC=CC(Br)=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,E7,CN1C(/C=C/C2=CC=C(Br)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,E8,CN1C(/C=C/C2=C(O)C=CC(I)=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,E9,CN1C(/C=C/C2=CC=C(OCC3=CC=C(Br)C=C3)C=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,E10,CN1C(/C=C/C2=CC(C=CC=C3)=C3N2C)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,F1,CN1C(/C=C/C2=CC=C(N(CCC#N)C)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,F2,CN1C(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=[N+](CCCCCC(NCCN)=O)C5=CC=CC=C51
,F3,CN1C(/C=C/C2=CC=C(N(CCO)CCO)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,F4,CN1C(/C=C/C2=CC=C(N(C)C)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,F5,CN1C(/C=C/C=C/C2=CC=C(N(CC)CC)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,F6,CN1C(/C=C/C2=C(O)C=C(N(CC)CC)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,F7,CN1C(/C=C/C2=C([N+]([O-])=O)C=C(N(CC)CC)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,F8,CN1C(/C=C/C2=CC=C(N(CC)CC)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,F9,CN1C(/C=C/C2=CC=C(N(CCO)C)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,F10,CN1C(/C=C/C2=CC=C(N(CCC)CCC)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,g1,CN1C(/C=C/C2=CC=CO2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,g2,CN1C(/C=C/C2=CC=C(C)O2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,g3,CN1C(/C=C/C2=CC(C=CC=C3)=C3O2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,g4,CN1C(/C=C/C2=CC=C(CC)O2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,g5,CN1C(/C=C/C2=CC=C(C3=CC=CC=C3)O2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,g6,CN1C(/C=C/C2=CC=C(C3=CC=CC=C3[N+]([O-])=O)O2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,g7,CN1C(/C=C/C2=CC(C=CC=C3)=C3S2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,g8,CN1C(/C=C/C2=CC=C(C3=CC=CC=C3)S2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,g9,CN1C(/C=C/C2=C(C)N(C3=CC=CC(C(F)(F)F)=C3)C(C)=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,g10,CN1C(/C=C/C2=C(C)N=CN2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,h1,CN1C(/C=C/C2=CC3=C(C=CC=C3)N2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,h2,CN1C(/C=C/C2=C(Cl)N=C(C=CC=C3)C3=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,h3,CN1C(/C=C/C2=CC(Cl)=CC=C2Cl)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,h4,CN1C(/C=C/C2=C(Cl)N=C(C=CC(OC)=C3)C3=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,h5,CN1C(/C=C/C2=CC=C(SC)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,h6,CN1C(/C=C/C2=CC(C)=C(OCC3=CC=CC=C3)C(C)=C2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,h7,CN1C(/C=C/C2=CC=C(C3=CC(Cl)=C(OC)C=C3)O2)=[N+](CCCCCC(NCCN)=O)C4=CC=CC=C41
,h8,CN1C(/C=C/C2=CC=C(OC(C(F)(F)F)C(F)(F)F)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,h9,CN1C(/C=C/C2=C(OC)C=C(OC)C=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
,h10,CN1C(/C=C/C2=CC(C(F)(F)F)=CC=C2)=[N+](CCCCCC(NCCN)=O)C3=CC=CC=C31
NBD,A2,CCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2ccccc2)n1
,A3,CC(C)Nc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2ccccc2)n1
,A4,CCCCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2ccccc2)n1
,A5,CC1CCC(Nc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCc3ccccc3)n2)CC1
,A6,CC1CCCCC1Nc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2ccccc2)n1
,A7,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCc3ccccc3)nc(NCC3CCCCC3)n2)c2nonc12
,A8,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCc3ccccc3)nc(NC3CCCCC3)n2)c2nonc12
,A9,CC(C)CCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2ccccc2)n1
,A10,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCCc3ccccn3)nc(NCc3ccccc3)n2)c2nonc12
,A11,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCCc3ccccc3)nc(NCc3ccccc3)n2)c2nonc12
,B2,CCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2cccc(OC)c2)n1
,B3,COc1cccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC(C)C)n2)c1
,B4,CCCCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2cccc(OC)c2)n1
,B5,COc1cccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC3CCC(C)CC3)n2)c1
,B6,COc1cccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC3CCCCC3C)n2)c1
,B7,COc1cccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCC3CCCCC3)n2)c1
,b8,COc1cccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC3CCCCC3)n2)c1
,B9,COc1cccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCC(C)C)n2)c1
,B10,COc1cccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCc3ccccn3)n2)c1
,B11,COc1cccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCc3ccccc3)n2)c1
,C2,CCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2ccc(OC)cc2)n1
,C3,COc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC(C)C)n2)cc1
,C4,CCCCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2ccc(OC)cc2)n1
,C5,COc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC3CCC(C)CC3)n2)cc1
,C6,COc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC3CCCCC3C)n2)cc1
,C7,COc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCC3CCCCC3)n2)cc1
,C8,COc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC3CCCCC3)n2)cc1
,C9,COc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCC(C)C)n2)cc1
,C10,COc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCc3ccccn3)n2)cc1
,C11,COc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCc3ccccc3)n2)cc1
,D2,CCCCNc1nc(COc2ccc(CCN)cc2)nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)n1
,D3,CC(C)Nc1nc(COc2ccc(CCN)cc2)nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)n1
,D4,CCCCCCNc1nc(COc2ccc(CCN)cc2)nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)n1
,D5,CC1CCC(Nc2nc(COc3ccc(CCN)cc3)nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)n2)CC1
,D6,CC1CCCCC1Nc1nc(COc2ccc(CCN)cc2)nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)n1
,D7,NCCc1ccc(OCc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCC3CCCCC3)n2)cc1
,D8,NCCc1ccc(OCc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC3CCCCC3)n2)cc1
,D9,CC(C)CCNc1nc(COc2ccc(CCN)cc2)nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)n1
,D10,NCCc1ccc(OCc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCc3ccccn3)n2)cc1
,D11,NCCc1ccc(OCc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCc3ccccc3)n2)cc1
,E2,CCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2cccc(F)c2)n1
,E3,CC(C)Nc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2cccc(F)c2)n1
,E4,CCCCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2cccc(F)c2)n1
,e5,CC1CCC(Nc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCc3cccc(F)c3)n2)CC1
,E6,CC1CCCCC1Nc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2cccc(F)c2)n1
,E7,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCc3cccc(F)c3)nc(NCC3CCCCC3)n2)c2nonc12
,E8,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCc3cccc(F)c3)nc(NC3CCCCC3)n2)c2nonc12
,E9,CC(C)CCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2cccc(F)c2)n1
,E10,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCCc3ccccn3)nc(NCc3cccc(F)c3)n2)c2nonc12
,E11,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCCc3ccccc3)nc(NCc3cccc(F)c3)n2)c2nonc12
,F2,CCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCCC(c2ccccc2)c2ccccc2)n1
,F3,CC(C)Nc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCCC(c2ccccc2)c2ccccc2)n1
,F4,CCCCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCCC(c2ccccc2)c2ccccc2)n1
,F5,CC1CCC(Nc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCC(c3ccccc3)c3ccccc3)n2)CC1
,F6,CC1CCCCC1Nc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCCC(c2ccccc2)c2ccccc2)n1
,F7,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCCC(c3ccccc3)c3ccccc3)nc(NCC3CCCCC3)n2)c2nonc12
,F8,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCCC(c3ccccc3)c3ccccc3)nc(NC3CCCCC3)n2)c2nonc12
,F9,CC(C)CCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCCC(c2ccccc2)c2ccccc2)n1
,F10,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCCc3ccccn3)nc(NCCC(c3ccccc3)c3ccccc3)n2)c2nonc12
,F11,O=[N+]([O-])c1ccc(NCCCCCCNc2nc(NCCc3ccccc3)nc(NCCC(c3ccccc3)c3ccccc3)n2)c2nonc12
,G2,CCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2ccc(C)cc2)n1
,G3,Cc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC(C)C)n2)cc1
,G4,CCCCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2ccc(C)cc2)n1
,G5,Cc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC3CCC(C)CC3)n2)cc1
,G6,Cc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC3CCCCC3C)n2)cc1
,G7,Cc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCC3CCCCC3)n2)cc1
,G8,Cc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC3CCCCC3)n2)cc1
,G9,Cc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCC(C)C)n2)cc1
,G10,Cc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCc3ccccn3)n2)cc1
,G11,Cc1ccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NCCc3ccccc3)n2)cc1
,H2,CCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2cccc(OC)c2OC)n1
,H3,COc1cccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC(C)C)n2)c1OC
,H4,CCCCCCNc1nc(NCCCCCCNc2ccc([N+](=O)[O-])c3nonc23)nc(NCc2cccc(OC)c2OC)n1
,H5,COc1cccc(CNc2nc(NCCCCCCNc3ccc([N+](=O)[O-])c4nonc34)nc(NC3CCC(C)CC3)n2)c1OC
